epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1501.8,0.90638,0.79458,1.10123,0.92594,0.98546,0.9874,0.77944,0.77321,0.65376,1.03677,0.0005941,0.0005941,0.0005941
43,1538.26,0.9026,0.7549,1.09717,0.93804,0.95986,0.98547,0.78628,0.76296,0.66443,1.02937,0.0005842,0.0005842,0.0005842
44,1575.71,0.90065,0.75331,1.09,0.94824,0.94994,0.98317,0.79327,0.74865,0.67065,1.01853,0.0005743,0.0005743,0.0005743
45,1612.79,0.85413,0.74533,1.06225,0.90727,0.96897,0.98039,0.7809,0.75765,0.66194,1.02456,0.0005644,0.0005644,0.0005644
46,1649.8,0.87659,0.76389,1.08691,0.92968,0.97127,0.9832,0.7848,0.77343,0.64924,1.04227,0.0005545,0.0005545,0.0005545
47,1686.47,0.8827,0.77647,1.09301,0.94343,0.96843,0.98473,0.79885,0.75888,0.64405,1.02546,0.0005446,0.0005446,0.0005446
48,1728.34,0.88301,0.74703,1.08933,0.94907,0.97162,0.98299,0.77999,0.82599,0.66779,1.07596,0.0005347,0.0005347,0.0005347
49,1774.22,0.85165,0.73011,1.06712,0.95595,0.97482,0.98421,0.79787,0.72759,0.61334,1.00492,0.0005248,0.0005248,0.0005248
50,1821.77,0.88095,0.74287,1.07535,0.94376,0.9799,0.98601,0.78946,0.77182,0.61975,1.02785,0.0005149,0.0005149,0.0005149
51,1873.83,0.847,0.72105,1.07138,0.96444,0.95888,0.98802,0.79358,0.73775,0.58742,1.00392,0.000505,0.000505,0.000505
52,1927.03,0.83464,0.70808,1.05992,0.96763,0.97804,0.98994,0.81519,0.70065,0.58268,0.9955,0.0004951,0.0004951,0.0004951
53,1982.83,0.79783,0.69969,1.03772,0.96775,0.97445,0.99,0.82235,0.67069,0.57529,0.97903,0.0004852,0.0004852,0.0004852
54,2027.08,0.81262,0.73122,1.04627,0.94447,0.98074,0.99042,0.81572,0.68401,0.58146,0.98174,0.0004753,0.0004753,0.0004753
55,2077.89,0.81992,0.68602,1.04738,0.94843,0.96115,0.98776,0.80978,0.71572,0.62474,0.9963,0.0004654,0.0004654,0.0004654
56,2130.48,0.80087,0.67259,1.02296,0.97116,0.9812,0.9909,0.82123,0.66442,0.55547,0.96281,0.0004555,0.0004555,0.0004555
57,2182.55,0.84519,0.70203,1.07111,0.95719,0.98517,0.99111,0.81861,0.65796,0.53816,0.95993,0.0004456,0.0004456,0.0004456
58,2228.87,0.77976,0.65191,1.04532,0.96865,0.98341,0.99067,0.83104,0.6516,0.52963,0.95662,0.0004357,0.0004357,0.0004357
59,2270.28,0.781,0.66428,1.02784,0.96963,0.97329,0.99004,0.83502,0.65084,0.54779,0.96188,0.0004258,0.0004258,0.0004258
60,2313.28,0.79873,0.68036,1.04232,0.95725,0.98512,0.98804,0.83024,0.64183,0.53147,0.95342,0.0004159,0.0004159,0.0004159
61,2360.74,0.79072,0.72363,1.06517,0.95451,0.98583,0.98754,0.82914,0.64149,0.53495,0.94166,0.000406,0.000406,0.000406
62,2402.15,0.78794,0.65699,1.03346,0.93636,0.98936,0.98897,0.83496,0.62838,0.52848,0.94122,0.0003961,0.0003961,0.0003961
63,2451.82,0.79462,0.64474,1.04926,0.95142,0.98925,0.99074,0.84741,0.61185,0.51962,0.93682,0.0003862,0.0003862,0.0003862
64,2496.75,0.76269,0.64187,1.03432,0.97622,0.98397,0.99055,0.84951,0.60951,0.51083,0.93578,0.0003763,0.0003763,0.0003763
65,2540.13,0.76156,0.63085,1.02659,0.96167,0.98864,0.99029,0.8468,0.59205,0.51412,0.92811,0.0003664,0.0003664,0.0003664
66,2599.3,0.76569,0.64479,1.01662,0.97065,0.99004,0.99121,0.84078,0.6217,0.50813,0.94576,0.0003565,0.0003565,0.0003565
67,2659.17,0.73412,0.6094,1.00765,0.97241,0.9826,0.99197,0.85075,0.60553,0.50396,0.93605,0.0003466,0.0003466,0.0003466
68,2718.08,0.74,0.60567,1.00792,0.97561,0.98971,0.9916,0.85562,0.58733,0.49234,0.92361,0.0003367,0.0003367,0.0003367
69,2762.8,0.74446,0.59986,1.01996,0.95937,0.98904,0.99156,0.85669,0.58948,0.50626,0.92574,0.0003268,0.0003268,0.0003268
70,2803.49,0.7381,0.61163,1.02102,0.95941,0.99399,0.99233,0.85765,0.56634,0.49568,0.9147,0.0003169,0.0003169,0.0003169
71,2846.5,0.705,0.58715,0.99193,0.97739,0.99202,0.99243,0.85694,0.58082,0.48244,0.91904,0.000307,0.000307,0.000307
72,2890.4,0.70928,0.57966,0.99416,0.98428,0.98524,0.993,0.85862,0.56262,0.46684,0.91471,0.0002971,0.0002971,0.0002971
73,2931.43,0.71854,0.58324,0.98798,0.98534,0.99008,0.99308,0.86579,0.56297,0.46557,0.91136,0.0002872,0.0002872,0.0002872
74,2973.26,0.69928,0.57584,0.98526,0.98617,0.98967,0.99308,0.85235,0.58065,0.47014,0.91291,0.0002773,0.0002773,0.0002773
75,3018.84,0.71937,0.59682,0.99786,0.97911,0.99569,0.99295,0.86561,0.55274,0.45782,0.90799,0.0002674,0.0002674,0.0002674
76,3061.67,0.71003,0.59536,1.00209,0.97572,0.98929,0.99252,0.86591,0.5501,0.45726,0.90708,0.0002575,0.0002575,0.0002575
77,3104.79,0.71039,0.58194,0.99664,0.97197,0.98469,0.99156,0.86168,0.5535,0.45924,0.90328,0.0002476,0.0002476,0.0002476
78,3152.8,0.68749,0.56881,1.00257,0.97218,0.97713,0.99149,0.8661,0.5288,0.4533,0.89047,0.0002377,0.0002377,0.0002377
79,3203.03,0.68767,0.58403,0.98647,0.96526,0.98699,0.99167,0.86034,0.54013,0.44869,0.89132,0.0002278,0.0002278,0.0002278
80,3254.71,0.67339,0.5481,0.97676,0.96743,0.99504,0.99207,0.86905,0.52685,0.4407,0.89281,0.0002179,0.0002179,0.0002179
81,3297.37,0.67267,0.54191,0.9774,0.97467,0.99099,0.99207,0.88067,0.50573,0.43281,0.88763,0.000208,0.000208,0.000208
82,3342.11,0.67456,0.56542,0.97538,0.97704,0.98982,0.99249,0.87948,0.50469,0.43358,0.8834,0.0001981,0.0001981,0.0001981
83,3396.67,0.64876,0.55613,0.97581,0.98279,0.98891,0.99242,0.88046,0.49553,0.43618,0.87985,0.0001882,0.0001882,0.0001882
84,3433.66,0.68776,0.56717,0.98882,0.98434,0.98344,0.99256,0.88159,0.49998,0.4303,0.88219,0.0001783,0.0001783,0.0001783
85,3470.33,0.63712,0.53891,0.96033,0.98198,0.99234,0.99308,0.88489,0.49359,0.42174,0.87871,0.0001684,0.0001684,0.0001684
86,3506.56,0.64443,0.53638,0.96185,0.98318,0.99041,0.99324,0.88844,0.48454,0.41647,0.87591,0.0001585,0.0001585,0.0001585
87,3542.37,0.66023,0.53912,0.97143,0.99088,0.9885,0.99314,0.883,0.48902,0.41561,0.87445,0.0001486,0.0001486,0.0001486
88,3578.31,0.62483,0.52571,0.95619,0.98858,0.99134,0.99312,0.88253,0.49523,0.41469,0.87497,0.0001387,0.0001387,0.0001387
89,3616.03,0.63411,0.51798,0.9573,0.98997,0.99373,0.99313,0.88981,0.47893,0.40978,0.87146,0.0001288,0.0001288,0.0001288
90,3652.27,0.62623,0.52642,0.95044,0.99023,0.99281,0.99314,0.88997,0.47273,0.40372,0.86884,0.0001189,0.0001189,0.0001189
91,3689.34,0.65462,0.59189,0.98697,0.98387,0.99427,0.99311,0.8813,0.49657,0.41368,0.87403,0.000109,0.000109,0.000109
92,3734.92,0.63311,0.56968,0.966,0.97605,0.99513,0.99292,0.87109,0.52628,0.44806,0.88289,9.91e-05,9.91e-05,9.91e-05
93,3781.02,0.59179,0.55014,0.92901,0.97487,0.99711,0.99279,0.87294,0.52111,0.45207,0.88304,8.92e-05,8.92e-05,8.92e-05
94,3829.16,0.58328,0.54284,0.93807,0.98006,0.99484,0.99285,0.87452,0.52109,0.4384,0.88697,7.93e-05,7.93e-05,7.93e-05
95,3878.62,0.56518,0.50872,0.93223,0.98331,0.99563,0.99291,0.88089,0.50559,0.42875,0.88296,6.94e-05,6.94e-05,6.94e-05
96,3926.79,0.56996,0.51139,0.92307,0.984,0.99722,0.99297,0.8824,0.49553,0.42054,0.87807,5.95e-05,5.95e-05,5.95e-05
97,3970.51,0.54665,0.49806,0.92958,0.99198,0.99067,0.993,0.88544,0.49113,0.41606,0.87514,4.96e-05,4.96e-05,4.96e-05
98,4013.74,0.54573,0.50875,0.91062,0.98961,0.99296,0.99301,0.88943,0.48352,0.41357,0.8738,3.97e-05,3.97e-05,3.97e-05
99,4057.24,0.54637,0.49382,0.91851,0.99012,0.99451,0.99301,0.89042,0.47867,0.41188,0.87197,2.98e-05,2.98e-05,2.98e-05
100,4102.94,0.54637,0.48638,0.90954,0.98759,0.99528,0.99314,0.89019,0.47726,0.41067,0.87083,1.99e-05,1.99e-05,1.99e-05
